ID,Title,Year,Age,Rotten Tomatoes
1,The Irishman,2019,17+,98/100
2,Dangal,2016,SU,97/100
3,David Attenborough: A Life on Our Planet,2020,SU,95/100
4,Lagaan: Once Upon a Time in India,2001,SU,94/100
5,Roma,2018,17+,94/100
6,To All the Boys I've Loved Before,2018,13+,94/100
7,The Social Dilemma,2020,13+,93/100
8,Okja,2017,13+,92/100
9,The Ballad of Buster Scruggs,2018,17+,92/100
10,The Trial of the Chicago 7,2020,17+,92/100
11,Article 15,2019,17+,92/100
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,17+,92/100
13,Dolemite Is My Name,2019,17+,92/100
14,Mudbound,2017,17+,91/100
15,Swades,2004,SU,91/100
16,Fyre,2019,17+,91/100
17,Miss Americana,2020,17+,90/100
18,Virunga,2014,17+,90/100
19,Black Friday,2004,17+,90/100
20,Talvar,2015,SU,90/100
21,The King,2019,17+,90/100
22,John Mulaney: Kid Gorgeous at Radio City,2018,17+,89/100
23,I Am Mother,2019,13+,89/100
24,Tell Me Who I Am,2019,17+,89/100
25,The Departed,2006,17+,89/100
26,Winter on Fire: Ukraine's Fight for Freedom,2015,17+,89/100
27,I Lost My Body,2019,17+,89/100
28,Django Unchained,2012,17+,89/100
29,The Half of It,2020,13+,89/100
30,The Boy Who Harnessed the Wind,2019,SU,89/100
31,The Devil All the Time,2020,17+,89/100
32,The Fundamentals of Caring,2016,17+,89/100
33,Pieces of a Woman,2020,17+,88/100
34,Gerald's Game,2017,17+,88/100
35,On Body and Soul,2017,21+,88/100
36,Shutter Island,2010,17+,88/100
37,Always Be My Maybe,2019,13+,88/100
38,The Intouchables,2011,SU,88/100
39,Bill Burr: Paper Tiger,2019,17+,87/100
40,Special 26,2013,13+,87/100
41,Kiss the Ground,2020,17+,87/100
42,Crip Camp: A Disability Revolution,2020,17+,87/100
43,Extraction,2020,17+,87/100
44,No Direction Home: Bob Dylan,2005,SU,87/100
45,Kabhi Khushi Kabhie Gham,2001,SU,87/100
46,His House,2020,17+,87/100
47,Super Deluxe,2019,17+,87/100
48,The Guernsey Literary & Potato Peel Pie Society,2018,17+,87/100
49,A Secret Love,2020,17+,87/100
50,The Night Comes for Us,2018,17+,87/100
51,Pad Man,2018,13+,87/100
52,American Factory,2019,13+,86/100
53,Bird Box,2018,17+,86/100
54,The Pianist,2002,17+,86/100
55,3 Idiots,2009,13+,86/100
56,The Distinguished Citizen,2016,17+,86/100
57,A Shaun the Sheep Movie: Farmageddon,2019,SU,86/100
58,What Happened to Monday,2017,17+,86/100
59,Anthony Jeselnik: Thoughts and Prayers,2015,17+,86/100
60,The White Helmets,2016,17+,86/100
61,Invader ZIM: Enter the Florpus,2019,SU,86/100
62,Happy as Lazzaro,2018,13+,85/100
63,Chasing Coral,2017,13+,85/100
64,Kal Ho Naa Ho,2003,SU,85/100
65,Pan's Labyrinth,2006,17+,85/100
66,Team Foxcatcher,2016,17+,85/100
67,The Meyerowitz Stories (New and Selected),2017,17+,85/100
68,Casino Royale,2006,13+,85/100
69,The Hateful Eight,2015,17+,85/100
70,Rush,2013,17+,84/100
71,Zombieland,2009,17+,84/100
72,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100
73,Kapoor & Sons,2016,13+,84/100
74,The Perfection,2018,17+,84/100
75,Dave Chappelle: Sticks & Stones,2019,17+,84/100
76,There Will Be Blood,2007,17+,84/100
77,Million Dollar Baby,2004,13+,84/100
78,The Social Network,2010,13+,84/100
79,The Christmas Chronicles,2018,SU,84/100
80,The Pixar Story,2007,SU,84/100
81,Ma Rainey's Black Bottom,2020,17+,84/100
82,Calibre,2018,17+,84/100
83,Silver Linings Playbook,2012,17+,84/100
84,Over the Moon,2020,SU,84/100
85,"What Happened, Miss Simone?",2015,17+,84/100
86,Nightcrawler,2014,17+,84/100
87,1922,2017,17+,84/100
88,Paddleton,2019,17+,84/100
89,Cargo,2017,13+,84/100
90,Cuba and the Cameraman,2017,13+,83/100
91,The Ritual,2017,17+,83/100
92,The Hater,2020,17+,83/100
93,The Edge of Democracy,2019,17+,83/100
94,22_July,2018,17+,83/100
95,Adam Sandler: 100% Fresh,2018,17+,83/100
96,Guru,2007,13+,83/100
97,A Twelve-Year Night,2018,17+,83/100
98,Dumplin',2018,13+,83/100
99,The Conjuring,2013,17+,83/100
100,Marriage Story,2019,17+,83/100
101,My Octopus Teacher,2020,SU,83/100
102,About Time,2013,13+,83/100
103,Hey Arnold! The Jungle Movie,2017,SU,83/100
104,Kung Fu Panda,2008,SU,83/100
105,Superbad,2007,17+,83/100
106,The Invisible Guest,2016,17+,83/100
107,Mystic River,2003,17+,82/100
108,The Theory of Everything,2014,13+,82/100
109,Springsteen On Broadway,2018,SU,82/100
110,The Life Ahead,2020,13+,82/100
111,The Terminal,2004,13+,82/100
112,Scott Pilgrim vs. the World,2010,13+,82/100
113,Being Elmo: A Puppeteer's Journey,2011,SU,82/100
114,The Resistance Banker,2018,17+,82/100
115,How to Train Your Dragon 2,2014,SU,82/100
116,The Endless Trench,2019,17+,82/100
117,Even the Rain,2010,17+,82/100
118,Love Actually,2003,17+,82/100
119,Dear Ex,2018,17+,82/100
120,Braven,2018,17+,82/100
121,Period. End of Sentence.,2018,SU,82/100
122,Captain Fantastic,2016,17+,82/100
123,Veronica,2017,17+,81/100
124,The Siege of Jadotville,2016,17+,81/100
125,Into the Inferno,2016,13+,81/100
126,Ricky Gervais: Humanity,2018,17+,81/100
127,A Whisker Away,2020,SU,81/100
128,Lady Bird,2017,17+,81/100
129,Road to Perdition,2002,17+,81/100
130,Bo Burnham: Inside,2021,17+,81/100
131,Snowpiercer,2013,17+,81/100
132,Circus of Books,2019,17+,81/100
133,Tallulah,2016,13+,81/100
134,The Conjuring 2,2016,17+,81/100
135,They'll Love Me When I'm Dead,2018,17+,81/100
